time	V(vin)	V(vout)
4.837545570139822e-001	-7.540475e-002	-8.549956e-002
4.856545570139820e-001	-6.858909e-002	-7.859077e-002
4.875545570139818e-001	-6.046718e-002	-7.038100e-002
4.886545570139817e-001	-5.532983e-002	-6.519901e-002
4.897545570139816e-001	-4.994823e-002	-5.977675e-002
4.908545570139815e-001	-4.432237e-002	-5.411423e-002
4.919545570139813e-001	-3.845226e-002	-4.821146e-002
4.930545570139812e-001	-3.233788e-002	-4.206842e-002
4.941545570139811e-001	-2.597926e-002	-3.568513e-002
4.952545570139810e-001	-1.937637e-002	-2.906157e-002
4.956831284425524e-001	-1.678732e-002	-2.646579e-002
4.961116998711238e-001	-1.418359e-002	-2.385603e-002
4.965402712996951e-001	-1.156518e-002	-2.123228e-002
4.969688427282665e-001	-8.932111e-003	-1.859455e-002
4.973974141568379e-001	-6.284367e-003	-1.594283e-002
4.978259855854093e-001	-3.621951e-003	-1.327713e-002
4.982545570139806e-001	-9.448630e-004	-1.059745e-002
4.983545570139806e-001	-3.201134e-004	-9.972194e-003
4.989981675050520e-001	3.724205e-003	-5.925548e-003
4.996417779961234e-001	7.762904e-003	-1.886090e-003
5.002853884871947e-001	1.179599e-002	2.146179e-003
5.009289989782662e-001	1.582345e-002	6.171259e-003
5.015726094693375e-001	1.984529e-002	1.018915e-002
5.022162199604089e-001	2.386152e-002	1.419985e-002
5.028598304514802e-001	2.787213e-002	1.820337e-002
5.039312590229087e-001	3.452060e-002	2.483635e-002
5.050026875943371e-001	4.098719e-002	3.128352e-002
5.060741161657656e-001	4.727189e-002	3.754489e-002
5.071455447371940e-001	5.337470e-002	4.362046e-002
5.082169733086225e-001	5.929563e-002	4.951022e-002
5.092884018800509e-001	6.503468e-002	5.521417e-002
5.103598304514794e-001	7.059184e-002	6.073232e-002
5.120884018800506e-001	7.903401e-002	6.910243e-002
5.138169733086219e-001	8.647813e-002	7.646902e-002
5.155455447371931e-001	9.292421e-002	8.283210e-002
5.172741161657644e-001	9.837224e-002	8.819167e-002
5.190026875943355e-001	1.028222e-001	9.254772e-002
5.207312590229068e-001	1.062742e-001	9.590026e-002
5.224598304514780e-001	1.087281e-001	9.824929e-002
5.245455447371921e-001	1.098264e-001	9.921745e-002
5.266312590229062e-001	1.093163e-001	9.858237e-002
5.287169733086202e-001	1.071977e-001	9.634403e-002
5.308026875943342e-001	1.034706e-001	9.250244e-002
5.328884018800483e-001	9.813501e-002	8.705760e-002
5.349741161657624e-001	9.119090e-002	8.000950e-002
5.370598304514764e-001	8.263829e-002	7.135816e-002
5.382455447371906e-001	7.723555e-002	6.590670e-002
5.394312590229048e-001	7.154349e-002	6.017054e-002
5.406169733086189e-001	6.556211e-002	5.414966e-002
5.418026875943330e-001	5.929143e-002	4.784408e-002
5.429884018800472e-001	5.273142e-002	4.125380e-002
5.441741161657614e-001	4.588211e-002	3.437880e-002
5.453598304514755e-001	3.874348e-002	2.721910e-002
5.460134018800469e-001	3.476985e-002	2.323629e-002
5.466669733086182e-001	3.077152e-002	1.923040e-002
5.473205447371896e-001	2.674850e-002	1.520142e-002
5.479741161657609e-001	2.270079e-002	1.114936e-002
5.486276875943322e-001	1.862838e-002	7.074209e-003
5.492812590229036e-001	1.453127e-002	2.975978e-003
5.499348304514750e-001	1.040947e-002	-1.145338e-003
5.505491161657606e-001	6.536255e-003	-5.016576e-003
5.511634018800462e-001	2.682469e-003	-8.866976e-003
5.517776875943319e-001	-1.151894e-003	-1.269654e-002
5.523919733086176e-001	-4.966832e-003	-1.650526e-002
5.530062590229032e-001	-8.762345e-003	-2.029314e-002
5.536205447371888e-001	-1.253843e-002	-2.406018e-002
5.542348304514745e-001	-1.629510e-002	-2.780639e-002
5.552919733086172e-001	-2.270594e-002	-3.419573e-002
5.563491161657600e-001	-2.890691e-002	-4.037155e-002
5.574062590229028e-001	-3.489800e-002	-4.633383e-002
5.584634018800454e-001	-4.067921e-002	-5.208259e-002
5.595205447371882e-001	-4.625056e-002	-5.761783e-002
5.605776875943309e-001	-5.161202e-002	-6.293954e-002
5.616348304514737e-001	-5.676362e-002	-6.804772e-002
5.634062590229021e-001	-6.478327e-002	-7.598553e-002
5.651776875943304e-001	-7.170359e-002	-8.281921e-002
5.669491161657588e-001	-7.752458e-002	-8.854876e-002
5.687205447371871e-001	-8.224623e-002	-9.317419e-002
5.704919733086156e-001	-8.586855e-002	-9.669548e-002
5.722634018800439e-001	-8.839154e-002	-9.911264e-002
5.740348304514723e-001	-8.981519e-002	-1.004257e-001
5.759491161657578e-001	-8.969175e-002	-1.001817e-001
5.778634018800433e-001	-8.823725e-002	-9.861195e-002
5.797776875943288e-001	-8.545170e-002	-9.571634e-002
5.816919733086143e-001	-8.133509e-002	-9.149490e-002
5.836062590228999e-001	-7.588742e-002	-8.594762e-002
5.855205447371853e-001	-6.910870e-002	-7.907451e-002
5.874348304514708e-001	-6.099892e-002	-7.087557e-002
5.885348304514707e-001	-5.589739e-002	-6.572903e-002
5.896348304514706e-001	-5.054855e-002	-6.033916e-002
5.907348304514705e-001	-4.495239e-002	-5.470595e-002
5.918348304514703e-001	-3.910891e-002	-4.882942e-002
